"A1","A2","A3","A4","A5"
5.1,3.5,1.4,0.2,"a"
4.9,3,1.4,0.2,"a"
4.7,3.2,1.3,0.2,"a"
4.6,3.1,1.5,0.2,"a"
5,3.6,1.4,0.2,"a"
5.4,3.9,1.7,0.4,"a"
4.6,3.4,1.4,0.3,"a"
5,3.4,1.5,0.2,"a"
4.4,2.9,1.4,0.2,"a"
4.9,3.1,1.5,0.1,"a"
5.4,3.7,1.5,0.2,"a"
4.8,3.4,1.6,0.2,"a"
4.8,3,1.4,0.1,"a"
4.3,3,1.1,0.1,"a"
5.8,4,1.2,0.2,"a"
5.7,4.4,1.5,0.4,"a"
5.4,3.9,1.3,0.4,"a"
5.1,3.5,1.4,0.3,"a"
5.7,3.8,1.7,0.3,"a"
5.1,3.8,1.5,0.3,"a"
5.4,3.4,1.7,0.2,"a"
5.1,3.7,1.5,0.4,"a"
4.6,3.6,1,0.2,"a"
5.1,3.3,1.7,0.5,"a"
4.8,3.4,1.9,0.2,"a"
5,3,1.6,0.2,"a"
5,3.4,1.6,0.4,"a"
5.2,3.5,1.5,0.2,"a"
5.2,3.4,1.4,0.2,"a"
4.7,3.2,1.6,0.2,"a"
4.8,3.1,1.6,0.2,"a"
5.4,3.4,1.5,0.4,"a"
5.2,4.1,1.5,0.1,"a"
5.5,4.2,1.4,0.2,"a"
4.9,3.1,1.5,0.2,"a"
5,3.2,1.2,0.2,"a"
5.5,3.5,1.3,0.2,"a"
4.9,3.6,1.4,0.1,"a"
4.4,3,1.3,0.2,"a"
5.1,3.4,1.5,0.2,"a"
5,3.5,1.3,0.3,"a"
4.5,2.3,1.3,0.3,"a"
4.4,3.2,1.3,0.2,"a"
5,3.5,1.6,0.6,"a"
5.1,3.8,1.9,0.4,"a"
4.8,3,1.4,0.3,"a"
5.1,3.8,1.6,0.2,"a"
4.6,3.2,1.4,0.2,"a"
5.3,3.7,1.5,0.2,"a"
5,3.3,1.4,0.2,"a"
7,3.2,4.7,1.4,"b"
6.4,3.2,4.5,1.5,"b"
6.9,3.1,4.9,1.5,"b"
5.5,2.3,4,1.3,"b"
6.5,2.8,4.6,1.5,"b"
5.7,2.8,4.5,1.3,"b"
6.3,3.3,4.7,1.6,"b"
4.9,2.4,3.3,1,"b"
6.6,2.9,4.6,1.3,"b"
5.2,2.7,3.9,1.4,"b"
5,2,3.5,1,"b"
5.9,3,4.2,1.5,"b"
6,2.2,4,1,"b"
6.1,2.9,4.7,1.4,"b"
5.6,2.9,3.6,1.3,"b"
6.7,3.1,4.4,1.4,"b"
5.6,3,4.5,1.5,"b"
5.8,2.7,4.1,1,"b"
6.2,2.2,4.5,1.5,"b"
5.6,2.5,3.9,1.1,"b"
5.9,3.2,4.8,1.8,"b"
6.1,2.8,4,1.3,"b"
6.3,2.5,4.9,1.5,"b"
6.1,2.8,4.7,1.2,"b"
6.4,2.9,4.3,1.3,"b"
6.6,3,4.4,1.4,"b"
6.8,2.8,4.8,1.4,"b"
6.7,3,5,1.7,"b"
6,2.9,4.5,1.5,"b"
5.7,2.6,3.5,1,"b"
5.5,2.4,3.8,1.1,"b"
5.5,2.4,3.7,1,"b"
5.8,2.7,3.9,1.2,"b"
6,2.7,5.1,1.6,"b"
5.4,3,4.5,1.5,"b"
6,3.4,4.5,1.6,"b"
6.7,3.1,4.7,1.5,"b"
6.3,2.3,4.4,1.3,"b"
5.6,3,4.1,1.3,"b"
5.5,2.5,4,1.3,"b"
5.5,2.6,4.4,1.2,"b"
6.1,3,4.6,1.4,"b"
5.8,2.6,4,1.2,"b"
5,2.3,3.3,1,"b"
5.6,2.7,4.2,1.3,"b"
5.7,3,4.2,1.2,"b"
5.7,2.9,4.2,1.3,"b"
6.2,2.9,4.3,1.3,"b"
5.1,2.5,3,1.1,"b"
5.7,2.8,4.1,1.3,"b"
6.3,3.3,6,2.5,"c"
5.8,2.7,5.1,1.9,"c"
7.1,3,5.9,2.1,"c"
6.3,2.9,5.6,1.8,"c"
6.5,3,5.8,2.2,"c"
7.6,3,6.6,2.1,"c"
4.9,2.5,4.5,1.7,"c"
7.3,2.9,6.3,1.8,"c"
6.7,2.5,5.8,1.8,"c"
7.2,3.6,6.1,2.5,"c"
6.5,3.2,5.1,2,"c"
6.4,2.7,5.3,1.9,"c"
6.8,3,5.5,2.1,"c"
5.7,2.5,5,2,"c"
5.8,2.8,5.1,2.4,"c"
6.4,3.2,5.3,2.3,"c"
6.5,3,5.5,1.8,"c"
7.7,3.8,6.7,2.2,"c"
7.7,2.6,6.9,2.3,"c"
6,2.2,5,1.5,"c"
6.9,3.2,5.7,2.3,"c"
5.6,2.8,4.9,2,"c"
7.7,2.8,6.7,2,"c"
6.3,2.7,4.9,1.8,"c"
6.7,3.3,5.7,2.1,"c"
7.2,3.2,6,1.8,"c"
6.2,2.8,4.8,1.8,"c"
6.1,3,4.9,1.8,"c"
6.4,2.8,5.6,2.1,"c"
7.2,3,5.8,1.6,"c"
7.4,2.8,6.1,1.9,"c"
7.9,3.8,6.4,2,"c"
6.4,2.8,5.6,2.2,"c"
6.3,2.8,5.1,1.5,"c"
6.1,2.6,5.6,1.4,"c"
7.7,3,6.1,2.3,"c"
6.3,3.4,5.6,2.4,"c"
6.4,3.1,5.5,1.8,"c"
6,3,4.8,1.8,"c"
6.9,3.1,5.4,2.1,"c"
6.7,3.1,5.6,2.4,"c"
6.9,3.1,5.1,2.3,"c"
5.8,2.7,5.1,1.9,"c"
6.8,3.2,5.9,2.3,"c"
6.7,3.3,5.7,2.5,"c"
6.7,3,5.2,2.3,"c"
6.3,2.5,5,1.9,"c"
6.5,3,5.2,2,"c"
6.2,3.4,5.4,2.3,"c"
5.9,3,5.1,1.8,"c"
